,Document Name,Question,Answer,Location in the Document
1,"Residential Tenancies Act 2010 (NSW)
Residential Tenancies Regulation 2019 (NSW)",What are  key rights and responsibilities of tenants under the Residential Tenancies Act 2010?,"Key Rights of Tenants:
- Written Agreement (Landlord must provide a written tenancy agreement) 
- Condition Report (Tenant is entitled to a copy of the condition report) 
- Quiet Enjoyment & Privacy (Landlord must not interfere with tenant's possession)
- Repairs & Maintenance (Landlord must maintain premises in reasonable repair) 
- Bond Protection (Bond capped at 4 weeks rent and lodged with 'The Secretary') 
- A landlord or landlord’s agent must offer a tenant each prescribed way to pay rent 
- A valid rent increase must follow the following rules following:
The tenant has received written notice by the landlord or landlords agent specifying the increased rent amount and the date from which it is payable
The notice is given at least 60 days before the increased rent is payable
The increase has occurred after 12 months of beginning the tenancy
-The rent has not been increased within the past 12 months  
- Tenants have the right to a rent receipt whenever rent is paid, either immediately if paid in person (except by cheque) or made available/delivered if paid by cheque.
- Notice for Termination (Minimum notice periods and Grounds for ending tenancy) 
- Pets (Permission required, refusal to keep a pet must be reasonable) 

Key Responsibilities of Tenants:
- Pay rent on time 
- Care for premises 
- Not Cause Nuisance or Interfere with Neighbours right to quiet enjoyment 
- Pay water usage charges if separately metered - 
- notify the landlord of any damage to the residential premises as soon as practicable after becoming aware of the damage","RTA:
s14-s16,  s29-s31, s50, s63, 
s159-s166, 35, 41, 36, 82 - 88, 73A - 73I

33,51,50

RTR: Schedule 1 (standard form agreement)
"
2,Residential Tenancies Act 2010 (NSW),What are the landlord's obligations regarding repairs and maintenance?,"A landlord must provide and maintain the residential premises in a reasonable state of repair, having regard to the age of, rent payable for and prospective life of the premises.

A landlord must also provide the residential premises in a reasonable state of cleanliness and fit for habitation by the tenant.","s63(1), s52(1)"
3,Residential Tenancies Act 2010 (NSW),What are the rules regarding rent increases under the Act?,"A valid rent increase must follow these rules:
-The tenant has received written notice by the landlord or landlords agent specifying the increased rent amount and the date from which it is payable
-The notice is given at least 60 days before the increased rent is payable
-The increase has occurred after 12 months of beginning the tenancy
-The rent has not been increased within the past 12 months ",s41
4,"Residential Tenancies Act 2010 (NSW)
Residential Tenancies Regulation 2019 (NSW)",What is the process for bond lodgement and refund under the Act?,"Process for lodgement:
Bond Amount Limit
Must not exceed 4 weeks’ rent (s159(1)).

Timing of Payment
Tenant must not be required to pay the bond before signing the tenancy agreement (s159(2)).

Deposit with Secretary
If landlord or other person (not agent): within 10 business days of receiving bond (s162).
If landlord’s agent: within 10 business days after the end of the month in which bond was received (s162)


Process for Rental Bond Refund
Who Can Claim
Tenants or an agent of the tenant, a landlord or their agent, or jointly by the landlord and the tenant or agents for them (s163(1)).

When Claim Can Be Made
Before termination only if:
Made jointly by or on behalf of the landlord and all the tenants, OR
Made by landlord directing payment to all the tenants, OR
Made by all tenants directing payment to the landlord (s163(2))


Notice of Claim Without Consent
Secretary must give written notice of the claim to all of the parties of the residential tenancy agreement (s164(2)).
Claim will be paid unless a party objects within 14 days of the claim or the matter goes to Tribunal.


Landlord Claim Requirements
If claiming without tenant consent, a landlord must provide:
a copy of a completed condition report about the residential premises at the end of the residential tenancy agreement, and
copies of any estimates, quotes, invoices or receipts for work for which the rental bond is claimed. These documents must be provided with 7 days of the claim being made (s165).

Permitted Deductions from Bond (s166)
A landlord is entitled to claim from the rental bond for the residential tenancy agreement any of the following (the below list is not exhaustive):
the reasonable cost of repairs to, or the restoration of, the residential premises or goods leased with the premises, as a result of damage (other than fair wear and tear) caused by the tenant, an occupant or an invitee of the tenant,
(b)  any rent or other charges owing and payable under the residential tenancy agreement or this Act,
(c)  the reasonable cost of cleaning any part of the premises not left reasonably clean by the tenant, having regard to the condition of the premises at the commencement of the tenancy,
(d)  the reasonable cost of replacing locks or other security devices altered, removed or added by the tenant without the consent of the landlord,
(e)  any other amounts prescribed by the regulations.

Disputes
A landlord, tenant or any other person (includinga former co-tenant) who has an interest in payment of a rental bond can apply to the NSW Civil and Administrative Tribunal within 6 months after the rental bond is paid out (s175; cl39(8) Reg 2019).","RTA - s159, 162, 163, 164, 165, 166, s175

RTR - cl39(8)"
5,Residential Tenancies Act 2010 (NSW),What can a tenant do if the landlord refuses to make urgent repairs?,"Definition of Urgent Repairs (s62)
Urgent repairs include issues such as a burst water pipe, gas leaks, an appliance, fitting or fixture that uses water or is used to supply water that is broken or not functioning properly, so that a substantial amount of water is being wasted,  a blocked or broken lavatory system, a serious roof leak,  a gas leak,  a dangerous electrical fault,  flooding or serious flood damage,  serious storm or fire damage, a failure or breakdown of the gas, electricity or water supply to the residential premises, a failure or breakdown of any essential service on the residential premises for hot water, cooking, heating, cooling or laundering,  any fault or damage that causes the residential premises to be unsafe or insecure, any other damage prescribed by the regulations,

 if Landlord Fails to Act (s64)
If the landlord does not arrange repairs promptly, the tenant may:
Organise the urgent repairs themselves, up to a cost of $1,000.
Keep receipts and seek reimbursement from the landlord.
The landlord must not later than 14 days after being given a written notice from the tenant, reimburse the tenant for the reasonable costs of making urgent repairs to the residential premises.
 The landlord is required to reimburse the costs only if - 
(a)  the state of disrepair did not result from a breach of the residential tenancy agreement by the tenant, and
(b)  the tenant gave the landlord or the landlord’s agent notice of the state of disrepair or made a reasonable attempt to do so, and
(c)  the tenant gave the landlord or landlord’s agent a reasonable opportunity to make the repairs, if notice was given, and
(d)  the tenant has made a reasonable attempt to arrange for a licensed or otherwise properly qualified person nominated in the residential tenancy agreement to carry out the repairs, if such a person is so nominated, and
(e)  the repairs were carried out, if appropriate, by licensed or otherwise properly qualified persons, and
(f)  as soon as practicable after the repairs were carried out, the tenant gave the landlord or landlord’s agent, or made a reasonable attempt to give the landlord or landlord’s agent, a written notice setting out details of the repairs and the costs of the repairs, together with the receipts or copies of receipts for costs paid by the tenant.

Apply to NCAT for Orders (s65)
The tenant can apply to the NSW Civil and Administrative Tribunal (NCAT) for:
An order requiring the landlord to carry out the repairs.
An order for reimbursement of  an amount for urgent repairs carried out by the tenant.","s62,s63,s65"
6,Residential Tenancies Act 2010 (NSW),Under what conditions can a tenant break a lease early?,"s96 - A tenant can give a termination notice before the end of a fixed term agreement 

s98 - A tenant can give a termination notice on the grounds that the landlord has breached the residential tenancy agreement  

s98A - A tenant can give a termination notice on the grounds that the landlord has contravened s26 

s99 - A tenant (on a fixed term agreement of 2+ years) can give a termination notice on the ground that the rent has been increased

s100 - A tenant can give a termination notice for a fixed term agreement if, the have been offered and accepted accommodation in a social housing premises, if the tenant has accepted a place in an aged care facility, if the premises has or was listed on the LFAI (Loose Fill Asbestos Insulation) register, or if the landlord has notified the tenant of their intention to sell the premises (Must be in writing)

s104 - a tenant apply to NCAT to end their tenancy if they need to end the agreement because continuing it would cause them hardship

s 107 - a tenant may pay the applicable break fee to end a fixed term before the end of the fixed term agreement","s96,  s98, s98A, s99, s 100, s104, s107"
,Property and Stock Agents Regulation 2022,What is the penalty notice amount that applies when a licensee or registered person contravenes a rule of conduct without a reasonable excuse?,"$1,100 for an individual
$2.200 for a corporation","s37(2)
Schedule 13 Penalty notice offences
"
,"Property and Stock Agents Act 2002 (NSW)
Property and Stock Agents Regulation 2022 (NSW)",What is the penalty notice amount that applies when an individual carries on the business of a real estate agent without holding a real estate agent's licence?,"	
$1,100","s8(1)
Schedule 13 Penalty notice offences"
7,"Propetrty and Stock Agents Act 2002 (NSW)
Property and Stock Agents Regulation 2022 (NSW)

https://www.nsw.gov.au/housing-and-construction/property-professionals/supervising-an-agency/real-estate-trust-accounts-and-audit-requirements
",What are the rules about trust account management for agents?,"Payment of trust money into a trust account
Licensees under the Property and Stock Agents Act 2002(the Act) must hold clients’ funds in a trust account.

Those funds cannot be used for any purpose other than for that client and must be disbursed as the client directs.

‘General’ trust accounts should not be confused with ‘Separate’ trust accounts opened on behalf of vendor/purchaser or strata plans or established by the owners corporation of a strata scheme as required under the Strata Schemes Management Act 2015 (the Act).

Licensees in charge to authorise trust account withdrawals
Only a licensee in charge (LIC) of a business may authorise trust account withdrawals from a trust account.

This means that LICs are responsible for reviewing and approving all transactions for the trust account before they occur, including electronic fund transfers and payment of trust money by cheque.

There can also only be one LIC who is able to authorise withdrawals for a trust account.

An LIC is unable to delegate their authority to another person.

LICs should be aware that if they allow another person to withdraw funds from the trust account on their behalf, they may still be held liable for any breach or defalcation (misuse).

Learn more about LIC responsibilities.
Approved deposit-taking institutions
Trust accounts must be kept at an authorised deposit-taking institution in NSW.

The Secretary has approved the following deposit-taking institutions:

ANZ Bank - Australia and New Zealand Banking Group Limited
BCU Bank - a division of Police & Nurses Limited
BOQ - Bank of Queensland
Bank of Sydney Ltd
BankWest – a division of Commonwealth Bank of Australia
Bendigo Bank – Bendigo and Adelaide Bank Limited
Coastline Credit Union Ltd
Commonwealth Bank of Australia
HSBC Bank Australia Limited
Hume Bank Limited
Illawarra Credit Union Limited
IMB Bank - IMB Ltd
Macquarie Bank Limited
Maitland Mutual Limited T/as The Mutual Bank
NAB Bank - National Australia Bank Limited
Newcastle Greater Mutual Group Limited
Regional Australia Bank Ltd
St. George Bank Limited
State Bank of India
Suncorp Bank - Norfina Limited
The Summerland Credit Union Ltd
Unity Bank Limited
BankWAW - WAW Credit Union Co-operative Ltd
Westpac – Westpac Banking Corporation.
Requirements when opening a trust account
When opening a trust account, these requirements apply:

licensees need to notify the authorised deposit-taking institution in writing that the account is a ‘trust account’ required by the Act
if held by a corporation, the trust account must be in the name of the corporation
if not held by a corporation, the trust account must be in the name of the licensee or the firm
the name of the licensee, firm or corporation needs to appear as a prefix of the account name, followed by any other necessary identifier of the trust account
the words 'Trust Account' must also be included in the name of the trust account and all cheques drawn on the trust account.
Unique identifying numbers for general trust accounts
Under the Property and Stock Agents Regulation 2022, a licensee who opens a trust account must provide the authorised deposit-taking institution (bank) with a unique identifying number (UID) given by NSW Fair Trading.

The licensee must ensure that each trust account has a UID. If a business maintains multiple trust accounts, each account will need to be registered separately. If the trust account is held by a corporation, the trust account must be registered using the corporation's licence number.

Licensees can use NSW OneGov to apply for a UID and obtain the necessary form(s) to notify their authorised deposit-taking institution.

The authorised deposit-taking institution lodges its monthly returns using this UID.

How can I register online?
Access the trust account registration to get a UID for all trust accounts you intend to open or maintain.

Once you enter your licence number and email address, you will be sent a confirmation email with a notification form in duplicate attached.

Print the forms and lodge them with your financial institution and keep the duplicate once stamped by the financial institution.

Note for interstate licensees
Interstate licensees intending to work here under Automatic Mutual Recognition (AMR) are unable to request a unique identifying number using the trust account registration portal.

You will need to complete your notification to NSW Fair Trading to work here under AMR. Once your notification has passed verification by Fair Trading, you can contact the Statutory Interest Unit to register for a unique identifying number by email to statutoryinterestunit@customerservice.nsw.gov.au

See more information on the AMR scheme.

Authorised deposit-taking institutions’ requirements
The Act sets out requirements for approved authorised deposit-taking institutions with regard to:

calculating interest on agents' trust accounts
paying a prescribed proportion of interest earned on agents' trust accounts to the Property Services Statutory Interest Account
monthly reporting to the Secretary, and
providing the Secretary their annual auditor’s certificate.
Exempt trust accounts
An authorised deposit-taking institution is not required to pay interest to the Statutory Interest Account or provide monthly reports to NSW Fair Trading for trust accounts that are a 'Separate' trust account:

kept on the instructions of the client for the exclusive benefit of the client, or
for the exclusive benefit of both a vendor and purchaser of land.
Requirements when closing a trust account
A licensee must, within 14 days after closing a trust account, notify NSW Fair Trading in one of the 3 following ways:

online via Trust Account Registration (see note below for interstate licensees)
attend Service NSW, or
complete the notice of closing a trust account form (green form) and submit it to NSW Fair Trading.
Note: If a financial institution has not uploaded the closing account details to Trust Account Registration system, it will not recognise the account number entered by an agent.

The licensee must keep the trust account closure confirmation notice for 3 years.

The form needs to be signed by the licensee (in duplicate):

Original – sent by the agent to NSW Fair Trading via email to statutoryinterestunit@customerservice.nsw.gov.au within 14 days after closing the trust account.
Copy – kept by the agent.
Note for interstate licensees
Interstate licensees working here under Automatic Mutual Recognition (AMR) are unable to use the trust account registration portal when closing a trust account.

Within 14 days after closing a trust account you must complete a notice of closing a trust account form and send it to NSW Fair Trading by email to statutoryinterestunit@customerservice.nsw.gov.au

NSW Fair Trading no longer accepts original forms by physical mail. Please scan and email completed forms via email.

Unclaimed trust money
Handling unclaimed trust money is the responsibility of Revenue NSW.

The Unclaimed Money Act 1995(the Act) applies to unclaimed money held in a trust account under the Act.

Trust money is considered unclaimed if it has been held by a licensee for more than 2 years in a trust account. This applies to all amounts of money.

A licensee must make reasonable efforts to locate the owner of any outstanding money in the trust account.

Failure to do so could attract a penalty of up to $5,500.

Money held in a trust account by a former licensee or the personal representative of a deceased licensee is unclaimed money and must be returned to Revenue NSW within 3 months after the person ceased to be a licensee or became a personal representative.

Failure to comply can attract a penalty of up to $5,500 and up to $550 for each additional day of non-compliance.

What to do with unclaimed trust money
All returns and payments should be made to the Chief Commissioner Revenue NSW, and not to NSW Fair Trading.

Visit the unclaimed money page of the Revenue NSW website for more information.

Trust account audit requirements
Licensees' records in relation to the handling of trust money must be audited.

Who is required to have their trust accounts audited?
The following people must have their trust accounts audited if they received or held trust money during the audit period ending 30 June:

a licensee (corporation or individual)
a former licensee (corporation or individual), or
a personal representative of a licensee.
Generally, for licensed corporations, it is the corporation that receives and is responsible for trust funds and not an individual licensee. In these cases, the corporation must ensure the trust account audit takes place.

However, if an individual licensee receives and is responsible for trust money, then they must ensure the trust account audit is done.

Who is required to submit an audit?
All trust account audits must be completed and submitted online by the auditor through the Auditor’s Report Online portal.

When must the audit be submitted?
All audits must be submitted to the Secretary within 3 months after the end of the audit period and no later than 30 September of that year.

If a trust account audit is not submitted by the due date, licensees could be disqualified from holding or renewing a licence.

Who can conduct the audit?
Auditors must be qualified under section 115 of the Property and Stock Agents Act 2002(the Act).

Registered audit companies, authorised company auditors and members of a Professional Accounting Body holding a Public Practising Certificate or Certificate of Public Practice can conduct the audit.

Professional Accounting Body is defined under the Australian Securities and Investments Commission Act 2001 (the Act), for example, CPA Australia, Chartered Accountants Australia and New Zealand and the Institute of Public Accountants.

Who can't conduct the audit?
Within the last 2 years of the audit period, an auditor must not have been employed by, nor be a partner of, the person whose records or documents are to be audited.

An auditor must not be a licensee, or a shareholder in a corporation that is a licensee with less than 20 shareholders.

Check that an auditor is registered by searching for their details on the ASIC website.


Annual audit requirements
The 'audit period' is the year ending on 30 June and the audit must be submitted by 30 September. To prepare an audit report for trust money held during the audit period, see more about lodging audits.

Audits must be submitted using Auditor’s Report Online.

If you have any questions about the audit requirements, contact NSW Fair Trading on 13 32 20.

If no trust money held during the whole audit period
If a licensed corporation or an individual licensee holds a trust account during the audit period and there have been no transactions and zero balance, you must send an email with a copy of the bank statement for the full audit period to audits@customerservice.nsw.gov.au.

Audits for other audit periods
Your auditor can submit outstanding audits for the previous 3 years by choosing the ""+Submit Prior Year Audits"" option.

Frequently asked questions
Who's responsible for lodging the auditor’s report correctly and by the due date?
Under the Property and Stock Agents Act 2002 (the Act) and Conveyancers Licensing Act 2003 (the Act), all licensees are required to lodge a trust account auditor’s report if they received or held trust money during the audit period.

The Act makes it clear it's the licensee’s responsibility to ensure the report is lodged by the due date.

Before engaging an auditor, inform them that the report must be lodged by 30 September and confirm that the auditor will be able to complete the report in time for you to lodge it by the due date.

Give the auditor access to all records and documents relating to money held in a trust account for the audit period, as soon as possible after the end of the audit period.

Monitor the progress of your report with the auditor on a regular basis.

Don't leave the report with the auditor and forget about it.

If your auditor cannot complete the report within the agreed timeframe due to some unforeseen circumstance preventing on time lodgement, you should immediately engage another auditor.

What if I am in partnership with other licensees?
Only one licensee in a partnership has to lodge an audit for the partnership.

When does it have to be lodged?
Lodgement must be within 3 months of the end of the audit period which is 30 June each year.

The due date for lodgement is 30 September each year. You still need to lodge even if you ceased trading during the period or only traded for part of the period.

How do I lodge an auditor’s report?
Your auditor will be completing and submitting your auditor’s report through the ‘Auditor’s Report Online’ portal.

To confirm engagement of your auditor, you'll need to authorise the auditor through an email from the auditor requesting permission to lodge an Auditor’s Report on your behalf.

When the report is completed and submitted by your auditor, you'll receive a copy via email.

Can the lodgement deadline be extended?
All auditor’s reports are required to be lodged by the due date.

The deadline will only be extended in exceptional circumstances that have existed over a period of time and can be supported by evidence.

Reasons such as unaware of the requirement to lodge, forgetting to provide access to the auditor, allowing insufficient time for the auditor to complete the report, forgetting to lodge the report, the auditor was too busy to get it done in time or the auditor forgot to lodge the report, aren't acceptable.

What happens if the auditor’s report isn't lodged by the due date?
If an auditor’s report isn't lodged by the due date or not lodged at all, and you don't have an acceptable reason, NSW Fair Trading will contact you and take action based on your circumstances.

Failure to lodge by the due date makes an individual or corporation a disqualified person under the Act and liable to disciplinary action.

Alternatively, NSW Fair Trading could issue a $550 fine for a late lodged audit by an individual or $1,100 for a corporation.

Failure to lodge an auditor’s report means you may not be able to renew your licence until you lodge.","Property and Stock Agenst Act 2002 - Part 7 – Trust Accounts
Property and Stock Agents Regulation  - clauses 21 to 35"
8,Residential Tenancies Act 2010 (NSW),What are the advertising obligations and restrictions for property agents?,"s22A - A landlord or landlord’s agent must not advertise or otherwise offer residential premises for rent unless a fixed amount of rent for the premises is stated in the advertisement or offer.
 s73H - A landlord, landlord’s agent, or any other person must not advertise that a tenant’s animal will not be permitted to be kept at the residential premises","S22A, S73H"
